"model","impute","tag","setting","dataset","corpus","ml_algo","n","seed","timespan","cutoff","ppmi","method","TrainRsquared","TrainSpearman"
"plus","python","Tagged","Agnostic","reddy","coha","elastic",89,1771,10,"50","RAW","glmnet",0.474588491229338,0.698722943722944
"norm","python","Tagged","Agnostic","reddy","coha","elastic",89,1881,10,"50","RAW","glmnet",0.49792977034399,0.649199134199134
"plus","python","Tagged","Agnostic","reddy","coha","elastic",89,1881,10,"50","RAW","glmnet",0.469003226617118,0.64965367965368
"norm","python","Tagged","Agnostic","reddy","coha","elastic",89,1991,10,"50","RAW","glmnet",0.507588867025124,0.654708624708625
"plus","python","Tagged","Agnostic","reddy","coha","elastic",89,1991,10,"50","RAW","glmnet",0.44567276862215,0.674262404262404
"norm","python","Tagged","Agnostic","all","coha","elastic",211,1001,10,"50","RAW","glmnet",0.28682117328788,0.477690144697474
"plus","python","Tagged","Agnostic","all","coha","elastic",210,1001,10,"50","RAW","glmnet",0.270870436386511,0.506476772456301
"norm","python","Tagged","Agnostic","all","coha","elastic",211,1111,10,"50","RAW","glmnet",0.272156750088802,0.489745233524063
"plus","python","Tagged","Agnostic","all","coha","elastic",210,1111,10,"50","RAW","glmnet",0.276624251166721,0.498718043688974
"norm","python","Tagged","Agnostic","all","coha","elastic",211,1221,10,"50","RAW","glmnet",0.291947471035147,0.525079887631863
"plus","python","Tagged","Agnostic","all","coha","elastic",210,1221,10,"50","RAW","glmnet",0.280356486469496,0.504293760932614
"norm","python","Tagged","Agnostic","all","coha","elastic",211,1331,10,"50","RAW","glmnet",0.270115481420947,0.498546246773773
"plus","python","Tagged","Agnostic","all","coha","elastic",210,1331,10,"50","RAW","glmnet",0.273781839467871,0.496520897261076
"norm","python","Tagged","Agnostic","all","coha","elastic",211,1441,10,"50","RAW","glmnet",0.288122512363495,0.520762668164343
"plus","python","Tagged","Agnostic","all","coha","elastic",210,1441,10,"50","RAW","glmnet",0.266786106272475,0.523617541056822
"norm","python","Tagged","Agnostic","all","coha","elastic",211,1551,10,"50","RAW","glmnet",0.282204838248548,0.49369990502636
"plus","python","Tagged","Agnostic","all","coha","elastic",210,1551,10,"50","RAW","glmnet",0.265919742298593,0.512302573104193
"norm","python","Tagged","Agnostic","all","coha","elastic",211,1661,10,"50","RAW","glmnet",0.268927999227043,0.523291947166008
"plus","python","Tagged","Agnostic","all","coha","elastic",210,1661,10,"50","RAW","glmnet",0.287414064618221,0.554955361707631
"norm","python","Tagged","Agnostic","all","coha","elastic",211,1771,10,"50","RAW","glmnet",0.265382115222485,0.543168452273307
"plus","python","Tagged","Agnostic","all","coha","elastic",210,1771,10,"50","RAW","glmnet",0.26833846679046,0.528437869192538
"norm","python","Tagged","Agnostic","all","coha","elastic",211,1881,10,"50","RAW","glmnet",0.274615118857974,0.49566056453807
"plus","python","Tagged","Agnostic","all","coha","elastic",210,1881,10,"50","RAW","glmnet",0.271219621538058,0.491342904434596
"norm","python","Tagged","Agnostic","all","coha","elastic",211,1991,10,"50","RAW","glmnet",0.296150803799454,0.517834232128075
"plus","python","Tagged","Agnostic","all","coha","elastic",210,1991,10,"50","RAW","glmnet",0.267014578888591,0.475144582298968
"norm","python","Tagged","Agnostic","reddy","coha","elastic",89,1001,10,"100","RAW","glmnet",0.530505709920621,0.723096697068382
"plus","python","Tagged","Agnostic","reddy","coha","elastic",89,1001,10,"100","RAW","glmnet",0.529200689802574,0.723096697068382
"norm","python","Tagged","Agnostic","reddy","coha","elastic",89,1111,10,"100","RAW","glmnet",0.483903217985466,0.634526683826115
"plus","python","Tagged","Agnostic","reddy","coha","elastic",89,1111,10,"100","RAW","glmnet",0.468452602330346,0.634526683826115
"norm","python","Tagged","Agnostic","reddy","coha","elastic",89,1221,10,"100","RAW","glmnet",0.546060761074865,0.735565707852878
"plus","python","Tagged","Agnostic","reddy","coha","elastic",89,1221,10,"100","RAW","glmnet",0.48391305013739,0.735565707852878
"norm","python","Tagged","Agnostic","reddy","coha","elastic",89,1331,10,"100","RAW","glmnet",0.486723811675737,0.662109301810884
"plus","python","Tagged","Agnostic","reddy","coha","elastic",89,1331,10,"100","RAW","glmnet",0.471113988348718,0.667370280534187
"norm","python","Tagged","Agnostic","reddy","coha","elastic",89,1441,10,"100","RAW","glmnet",0.441397303017924,0.680440586865482
"plus","python","Tagged","Agnostic","reddy","coha","elastic",89,1441,10,"100","RAW","glmnet",0.517610688876733,0.680440586865482
"norm","python","Tagged","Agnostic","reddy","coha","elastic",89,1551,10,"100","RAW","glmnet",0.492098275510608,0.683402087171149
"plus","python","Tagged","Agnostic","reddy","coha","elastic",89,1551,10,"100","RAW","glmnet",0.506592302553507,0.683402087171149
"norm","python","Tagged","Agnostic","reddy","coha","elastic",89,1661,10,"100","RAW","glmnet",0.509647964934153,0.642135511088729
"plus","python","Tagged","Agnostic","reddy","coha","elastic",89,1661,10,"100","RAW","glmnet",0.48898265156835,0.64986670395796
"norm","python","Tagged","Agnostic","reddy","coha","elastic",89,1771,10,"100","RAW","glmnet",0.541444305205125,0.674614343448698
"plus","python","Tagged","Agnostic","reddy","coha","elastic",89,1771,10,"100","RAW","glmnet",0.447613467572234,0.668227392113949
"norm","python","Tagged","Agnostic","reddy","coha","elastic",89,1881,10,"100","RAW","glmnet",0.503149729572732,0.714096477600117
"plus","python","Tagged","Agnostic","reddy","coha","elastic",89,1881,10,"100","RAW","glmnet",0.505077676732269,0.714096477600117
"norm","python","Tagged","Agnostic","reddy","coha","elastic",89,1991,10,"100","RAW","glmnet",0.514173744243713,0.675869130869131
"plus","python","Tagged","Agnostic","reddy","coha","elastic",89,1991,10,"100","RAW","glmnet",0.477270929836675,0.673255864868157
"norm","python","Tagged","Agnostic","all","coha","elastic",211,1001,10,"100","RAW","glmnet",0.287637612658814,0.496852629270325
"plus","python","Tagged","Agnostic","all","coha","elastic",210,1001,10,"100","RAW","glmnet",0.287659270540154,0.499568648479692
"norm","python","Tagged","Agnostic","all","coha","elastic",211,1111,10,"100","RAW","glmnet",0.293081042784273,0.504368117252097
"plus","python","Tagged","Agnostic","all","coha","elastic",210,1111,10,"100","RAW","glmnet",0.294901823130484,0.510263110950491
"norm","python","Tagged","Agnostic","all","coha","elastic",211,1221,10,"100","RAW","glmnet",0.289338932692092,0.517360377334902
"plus","python","Tagged","Agnostic","all","coha","elastic",210,1221,10,"100","RAW","glmnet",0.282152607686115,0.506902404806397
"norm","python","Tagged","Agnostic","all","coha","elastic",211,1331,10,"100","RAW","glmnet",0.299929804734142,0.504056591198451
"plus","python","Tagged","Agnostic","all","coha","elastic",210,1331,10,"100","RAW","glmnet",0.296100069515736,0.514592671620901
"norm","python","Tagged","Agnostic","all","coha","elastic",211,1441,10,"100","RAW","glmnet",0.304169019266666,0.522046397450753
"plus","python","Tagged","Agnostic","all","coha","elastic",210,1441,10,"100","RAW","glmnet",0.300658103779721,0.520324731596229
"norm","python","Tagged","Agnostic","all","coha","elastic",211,1551,10,"100","RAW","glmnet",0.290758497300825,0.509087810440738
"plus","python","Tagged","Agnostic","all","coha","elastic",210,1551,10,"100","RAW","glmnet",0.310270639639419,0.546487774352197
"norm","python","Tagged","Agnostic","all","coha","elastic",211,1661,10,"100","RAW","glmnet",0.286690559994308,0.525010994184091
"plus","python","Tagged","Agnostic","all","coha","elastic",210,1661,10,"100","RAW","glmnet",0.29145035497371,0.526063560244054
"norm","python","Tagged","Agnostic","all","coha","elastic",211,1771,10,"100","RAW","glmnet",0.270858107574294,0.526598011125917
"plus","python","Tagged","Agnostic","all","coha","elastic",210,1771,10,"100","RAW","glmnet",0.288002962958551,0.518908147637715
"norm","python","Tagged","Agnostic","all","coha","elastic",211,1881,10,"100","RAW","glmnet",0.286764649419863,0.502490562483428
"plus","python","Tagged","Agnostic","all","coha","elastic",210,1881,10,"100","RAW","glmnet",0.293907753785965,0.502065610450575
"norm","python","Tagged","Agnostic","all","coha","elastic",211,1991,10,"100","RAW","glmnet",0.301363464075123,0.518244542412473
"plus","python","Tagged","Agnostic","all","coha","elastic",210,1991,10,"100","RAW","glmnet",0.297600299153916,0.512451617941492
"norm","python","Tagged","Agnostic","reddy","coha","elastic",89,1001,10,"500","RAW","glmnet",0.346438142993598,0.536844439068181
"plus","python","Tagged","Agnostic","reddy","coha","elastic",89,1001,10,"500","RAW","glmnet",0.332103743949231,0.505075413525083
"norm","python","Tagged","Agnostic","reddy","coha","elastic",89,1111,10,"500","RAW","glmnet",0.296795994581999,0.483861409772234
"plus","python","Tagged","Agnostic","reddy","coha","elastic",89,1111,10,"500","RAW","glmnet",0.391529518613362,0.505519480519481
"norm","python","Tagged","Agnostic","reddy","coha","elastic",89,1221,10,"500","RAW","glmnet",0.339664469916413,0.468799062057655
"plus","python","Tagged","Agnostic","reddy","coha","elastic",89,1221,10,"500","RAW","glmnet",0.299066778711637,0.431906014327408
"norm","python","Tagged","Agnostic","reddy","coha","elastic",89,1331,10,"500","RAW","glmnet",0.371222480158329,0.492287676716705
"plus","python","Tagged","Agnostic","reddy","coha","elastic",89,1331,10,"500","RAW","glmnet",0.29611656411261,0.434548287942651
"norm","python","Tagged","Agnostic","reddy","coha","elastic",89,1441,10,"500","RAW","glmnet",0.319871408638952,0.477081529938334
"plus","python","Tagged","Agnostic","reddy","coha","elastic",89,1441,10,"500","RAW","glmnet",0.295114792183716,0.42952380952381
"norm","python","Tagged","Agnostic","reddy","coha","elastic",89,1551,10,"500","RAW","glmnet",0.339753789424637,0.524301128422187
"plus","python","Tagged","Agnostic","reddy","coha","elastic",89,1551,10,"500","RAW","glmnet",0.347215836969573,0.48783534001068
"norm","python","Tagged","Agnostic","reddy","coha","elastic",89,1661,10,"500","RAW","glmnet",0.382585214949241,0.45782084289341
"plus","python","Tagged","Agnostic","reddy","coha","elastic",89,1661,10,"500","RAW","glmnet",0.331438957343586,0.433896730107427
"norm","python","Tagged","Agnostic","reddy","coha","elastic",89,1771,10,"500","RAW","glmnet",0.384220292074207,0.448767734426649
"plus","python","Tagged","Agnostic","reddy","coha","elastic",89,1771,10,"500","RAW","glmnet",0.327974063261695,0.41110186900226
"norm","python","Tagged","Agnostic","reddy","coha","elastic",89,1881,10,"500","RAW","glmnet",0.32916494864167,0.464728699314581
"plus","python","Tagged","Agnostic","reddy","coha","elastic",89,1881,10,"500","RAW","glmnet",0.330214925017117,0.444675324675325
"norm","python","Tagged","Agnostic","reddy","coha","elastic",89,1991,10,"500","RAW","glmnet",0.317361876192971,0.454820304663648
"plus","python","Tagged","Agnostic","reddy","coha","elastic",89,1991,10,"500","RAW","glmnet",0.374024750396403,0.479314019314019
"norm","python","Tagged","Agnostic","all","coha","elastic",211,1001,10,"500","RAW","glmnet",0.143555060340237,0.330918479356855
"plus","python","Tagged","Agnostic","all","coha","elastic",210,1001,10,"500","RAW","glmnet",0.143065723031299,0.374170743349048
"norm","python","Tagged","Agnostic","all","coha","elastic",211,1111,10,"500","RAW","glmnet",0.118011125037866,0.337487884963898
