"model","impute","tag","setting","dataset","corpus","ml_algo","n","seed","timespan","cutoff","ppmi","method","TrainRsquared","TrainSpearman"
"plus","python","Tagged","Aware","reddy","coha","elastic",89,1881,10,"100","RAW","glmnet",0.521726831502681,0.704615958119597
"norm","python","Tagged","Aware","reddy","coha","elastic",89,1991,10,"100","RAW","glmnet",0.508579560921104,0.694603178261955
"plus","python","Tagged","Aware","reddy","coha","elastic",89,1991,10,"100","RAW","glmnet",0.490224630909331,0.694603178261955
"norm","python","Tagged","Aware","all","coha","elastic",211,1001,10,"100","RAW","glmnet",0.281026706989768,0.469579079243521
"plus","python","Tagged","Aware","all","coha","elastic",210,1001,10,"100","RAW","glmnet",0.264674272421826,0.481312131106791
"norm","python","Tagged","Aware","all","coha","elastic",211,1111,10,"100","RAW","glmnet",0.269854422494075,0.508706411493315
"plus","python","Tagged","Aware","all","coha","elastic",210,1111,10,"100","RAW","glmnet",0.274212438764206,0.506105503161337
"norm","python","Tagged","Aware","all","coha","elastic",211,1221,10,"100","RAW","glmnet",0.268482200463312,0.526572900698947
"plus","python","Tagged","Aware","all","coha","elastic",210,1221,10,"100","RAW","glmnet",0.268707567328402,0.498792710430207
"norm","python","Tagged","Aware","all","coha","elastic",211,1331,10,"100","RAW","glmnet",0.273563556495095,0.496882397544212
"plus","python","Tagged","Aware","all","coha","elastic",210,1331,10,"100","RAW","glmnet",0.276948576392833,0.492098104454248
"norm","python","Tagged","Aware","all","coha","elastic",211,1441,10,"100","RAW","glmnet",0.287231227233749,0.500629533758937
"plus","python","Tagged","Aware","all","coha","elastic",210,1441,10,"100","RAW","glmnet",0.284016307977957,0.497781280607468
"norm","python","Tagged","Aware","all","coha","elastic",211,1551,10,"100","RAW","glmnet",0.274384691523445,0.507294462450811
"plus","python","Tagged","Aware","all","coha","elastic",210,1551,10,"100","RAW","glmnet",0.288784291217186,0.530555236663807
"norm","python","Tagged","Aware","all","coha","elastic",211,1661,10,"100","RAW","glmnet",0.269825949655983,0.534391592561517
