"model","impute","tag","setting","dataset","corpus","ml_algo","n","seed","timespan","cutoff","ppmi","method","TrainRsquared","TrainSpearman"
"norm","python","Tagged","Aware","reddy","coha","elastic",89,1331,10,"50","PPMI","glmnet",0.518115237436617,0.685323619469961
"plus","python","Tagged","Aware","reddy","coha","elastic",89,1331,10,"50","PPMI","glmnet",0.516330675309287,0.685323619469961
"norm","python","Tagged","Aware","reddy","coha","elastic",89,1441,10,"50","PPMI","glmnet",0.464506474339873,0.684428722323346
"plus","python","Tagged","Aware","reddy","coha","elastic",89,1441,10,"50","PPMI","glmnet",0.516888382728781,0.681628165242072
"norm","python","Tagged","Aware","reddy","coha","elastic",89,1551,10,"50","PPMI","glmnet",0.505093762361369,0.700248353044597
"plus","python","Tagged","Aware","reddy","coha","elastic",89,1551,10,"50","PPMI","glmnet",0.501276277874693,0.684800845010737
"norm","python","Tagged","Aware","reddy","coha","elastic",89,1661,10,"50","PPMI","glmnet",0.513014762282029,0.658729368710194
"plus","python","Tagged","Aware","reddy","coha","elastic",89,1661,10,"50","PPMI","glmnet",0.502661197393465,0.659985010232325
"norm","python","Tagged","Aware","reddy","coha","elastic",89,1771,10,"50","PPMI","glmnet",0.544256527925733,0.680238095238095
"plus","python","Tagged","Aware","reddy","coha","elastic",89,1771,10,"50","PPMI","glmnet",0.501407605519439,0.675411255411255
"norm","python","Tagged","Aware","reddy","coha","elastic",89,1881,10,"50","PPMI","glmnet",0.498227545143211,0.680692640692641
"plus","python","Tagged","Aware","reddy","coha","elastic",89,1881,10,"50","PPMI","glmnet",0.472685754294005,0.680692640692641
"norm","python","Tagged","Aware","reddy","coha","elastic",89,1991,10,"50","PPMI","glmnet",0.536249625278841,0.706330336330336
"plus","python","Tagged","Aware","reddy","coha","elastic",89,1991,10,"50","PPMI","glmnet",0.482950234237494,0.706330336330336
"norm","python","Tagged","Aware","all","coha","elastic",211,1001,10,"50","PPMI","glmnet",0.302357326728857,0.495564222713008
"plus","python","Tagged","Aware","all","coha","elastic",210,1001,10,"50","PPMI","glmnet",0.270170484151026,0.514774555346319
"norm","python","Tagged","Aware","all","coha","elastic",211,1111,10,"50","PPMI","glmnet",0.28238622905424,0.490114631169342
"plus","python","Tagged","Aware","all","coha","elastic",210,1111,10,"50","PPMI","glmnet",0.287131318938485,0.489292176067877
"norm","python","Tagged","Aware","all","coha","elastic",211,1221,10,"50","PPMI","glmnet",0.2836946504866,0.533119931599255
"plus","python","Tagged","Aware","all","coha","elastic",210,1221,10,"50","PPMI","glmnet",0.279198364191661,0.510877000364679
"norm","python","Tagged","Aware","all","coha","elastic",211,1331,10,"50","PPMI","glmnet",0.293995890169718,0.481238074821042
"plus","python","Tagged","Aware","all","coha","elastic",210,1331,10,"50","PPMI","glmnet",0.257905437367788,0.472379570318204
"norm","python","Tagged","Aware","all","coha","elastic",211,1441,10,"50","PPMI","glmnet",0.303594081694656,0.544288543817481
"plus","python","Tagged","Aware","all","coha","elastic",210,1441,10,"50","PPMI","glmnet",0.296201251036967,0.538303454100326
