"model","impute","tag","setting","dataset","corpus","ml_algo","n","seed","timespan","cutoff","ppmi","method","TrainRsquared","TrainSpearman"
"plus","python","UnTagged","Aware","reddy","coha","elastic",89,1551,10,"50","PPMI","glmnet",0.497498783357384,0.653865951760575
"norm","python","UnTagged","Aware","reddy","coha","elastic",89,1661,10,"50","PPMI","glmnet",0.512464083300451,0.668031917701203
"plus","python","UnTagged","Aware","reddy","coha","elastic",89,1661,10,"50","PPMI","glmnet",0.513363697704334,0.675178464719299
"norm","python","UnTagged","Aware","reddy","coha","elastic",89,1771,10,"50","PPMI","glmnet",0.528472804399014,0.697272727272727
"plus","python","UnTagged","Aware","reddy","coha","elastic",89,1771,10,"50","PPMI","glmnet",0.462100984662387,0.667056277056277
"norm","python","UnTagged","Aware","reddy","coha","elastic",89,1881,10,"50","PPMI","glmnet",0.516430203927128,0.664004329004329
"plus","python","UnTagged","Aware","reddy","coha","elastic",89,1881,10,"50","PPMI","glmnet",0.491351578600056,0.66021645021645
"norm","python","UnTagged","Aware","reddy","coha","elastic",89,1991,10,"50","PPMI","glmnet",0.517909225360687,0.684025974025974
"plus","python","UnTagged","Aware","reddy","coha","elastic",89,1991,10,"50","PPMI","glmnet",0.494624579772952,0.67962037962038
"norm","python","UnTagged","Aware","all","coha","elastic",211,1001,10,"50","PPMI","glmnet",0.348094399409081,0.535331350011736
"plus","python","UnTagged","Aware","all","coha","elastic",210,1001,10,"50","PPMI","glmnet",0.297115527480509,0.536109847983899
"norm","python","UnTagged","Aware","all","coha","elastic",211,1111,10,"50","PPMI","glmnet",0.322023655389274,0.508797937526607
"plus","python","UnTagged","Aware","all","coha","elastic",210,1111,10,"50","PPMI","glmnet",0.314083501132718,0.508292826326194
"norm","python","UnTagged","Aware","all","coha","elastic",211,1221,10,"50","PPMI","glmnet",0.330262998241857,0.575324675324675
"plus","python","UnTagged","Aware","all","coha","elastic",210,1221,10,"50","PPMI","glmnet",0.302736833885461,0.513393752048469
"norm","python","UnTagged","Aware","all","coha","elastic",211,1331,10,"50","PPMI","glmnet",0.299936395024575,0.547212534436359
"plus","python","UnTagged","Aware","all","coha","elastic",210,1331,10,"50","PPMI","glmnet",0.300867454124501,0.526721642333351
"norm","python","UnTagged","Aware","all","coha","elastic",211,1441,10,"50","PPMI","glmnet",0.338591752541949,0.585152529664089
"plus","python","UnTagged","Aware","all","coha","elastic",210,1441,10,"50","PPMI","glmnet",0.325072051302639,0.549976034455632
"norm","python","UnTagged","Aware","all","coha","elastic",211,1551,10,"50","PPMI","glmnet",0.330254200794419,0.524664375284628
"plus","python","UnTagged","Aware","all","coha","elastic",210,1551,10,"50","PPMI","glmnet",0.318249020945686,0.557983801944893
"norm","python","UnTagged","Aware","all","coha","elastic",211,1661,10,"50","PPMI","glmnet",0.294588247253521,0.568814882130646
"plus","python","UnTagged","Aware","all","coha","elastic",210,1661,10,"50","PPMI","glmnet",0.335166357035032,0.582451691297669
"norm","python","UnTagged","Aware","all","coha","elastic",211,1771,10,"50","PPMI","glmnet",0.31629394644259,0.585103656286549
"plus","python","UnTagged","Aware","all","coha","elastic",210,1771,10,"50","PPMI","glmnet",0.285363336796292,0.53907886096411
"norm","python","UnTagged","Aware","all","coha","elastic",211,1881,10,"50","PPMI","glmnet",0.326484726268842,0.552644711783415
"plus","python","UnTagged","Aware","all","coha","elastic",210,1881,10,"50","PPMI","glmnet",0.311096131666823,0.527648435541801
"norm","python","UnTagged","Aware","all","coha","elastic",211,1991,10,"50","PPMI","glmnet",0.340804944054448,0.547391293799716
"plus","python","UnTagged","Aware","all","coha","elastic",210,1991,10,"50","PPMI","glmnet",0.305756130350365,0.518218120240721
"norm","python","UnTagged","Aware","reddy","coha","elastic",89,1001,10,"100","PPMI","glmnet",0.537686100783095,0.749906017926172
"plus","python","UnTagged","Aware","reddy","coha","elastic",89,1001,10,"100","PPMI","glmnet",0.522894949069034,0.749906017926172
"norm","python","UnTagged","Aware","reddy","coha","elastic",89,1111,10,"100","PPMI","glmnet",0.502105448383931,0.590925057739015
"plus","python","UnTagged","Aware","reddy","coha","elastic",89,1111,10,"100","PPMI","glmnet",0.487004292970344,0.591493506493507
"norm","python","UnTagged","Aware","reddy","coha","elastic",89,1221,10,"100","PPMI","glmnet",0.559917675344883,0.691800531984918
"plus","python","UnTagged","Aware","reddy","coha","elastic",89,1221,10,"100","PPMI","glmnet",0.481042711648115,0.688527298734747
"norm","python","UnTagged","Aware","reddy","coha","elastic",89,1331,10,"100","PPMI","glmnet",0.478949447257096,0.64504329004329
"plus","python","UnTagged","Aware","reddy","coha","elastic",89,1331,10,"100","PPMI","glmnet",0.498821133008853,0.64504329004329
"norm","python","UnTagged","Aware","reddy","coha","elastic",89,1441,10,"100","PPMI","glmnet",0.480673842483412,0.662787493078274
"plus","python","UnTagged","Aware","reddy","coha","elastic",89,1441,10,"100","PPMI","glmnet",0.505516354332135,0.660605429306791
"norm","python","UnTagged","Aware","reddy","coha","elastic",89,1551,10,"100","PPMI","glmnet",0.542629013367421,0.676380542036427
"plus","python","UnTagged","Aware","reddy","coha","elastic",89,1551,10,"100","PPMI","glmnet",0.522672015477671,0.657525321556805
"norm","python","UnTagged","Aware","reddy","coha","elastic",89,1661,10,"100","PPMI","glmnet",0.498374471381063,0.676920543561644
"plus","python","UnTagged","Aware","reddy","coha","elastic",89,1661,10,"100","PPMI","glmnet",0.503512152628969,0.672695810502557
"norm","python","UnTagged","Aware","reddy","coha","elastic",89,1771,10,"100","PPMI","glmnet",0.585144574530316,0.667727272727273
"plus","python","UnTagged","Aware","reddy","coha","elastic",89,1771,10,"100","PPMI","glmnet",0.464171884061885,0.674393939393939
"norm","python","UnTagged","Aware","reddy","coha","elastic",89,1881,10,"100","PPMI","glmnet",0.529463615238161,0.694651275897436
"plus","python","UnTagged","Aware","reddy","coha","elastic",89,1881,10,"100","PPMI","glmnet",0.525032249311764,0.694651275897436
"norm","python","UnTagged","Aware","reddy","coha","elastic",89,1991,10,"100","PPMI","glmnet",0.499006966997268,0.684001485324181
"plus","python","UnTagged","Aware","reddy","coha","elastic",89,1991,10,"100","PPMI","glmnet",0.492893609152012,0.678342322453658
"norm","python","UnTagged","Aware","all","coha","elastic",211,1001,10,"100","PPMI","glmnet",0.296939462851779,0.515727759772829
"plus","python","UnTagged","Aware","all","coha","elastic",210,1001,10,"100","PPMI","glmnet",0.288585001021286,0.514778164401001
"norm","python","UnTagged","Aware","all","coha","elastic",211,1111,10,"100","PPMI","glmnet",0.303620784957186,0.536912050340185
"plus","python","UnTagged","Aware","all","coha","elastic",210,1111,10,"100","PPMI","glmnet",0.305031526890964,0.527648350530692
"norm","python","UnTagged","Aware","all","coha","elastic",211,1221,10,"100","PPMI","glmnet",0.300673947212793,0.542370971260317
"plus","python","UnTagged","Aware","all","coha","elastic",210,1221,10,"100","PPMI","glmnet",0.302359191605106,0.523384209391532
"norm","python","UnTagged","Aware","all","coha","elastic",211,1331,10,"100","PPMI","glmnet",0.298742482672346,0.5325665179934
"plus","python","UnTagged","Aware","all","coha","elastic",210,1331,10,"100","PPMI","glmnet",0.302025828597712,0.521590517328205
"norm","python","UnTagged","Aware","all","coha","elastic",211,1441,10,"100","PPMI","glmnet",0.319998705538185,0.541681342441086
"plus","python","UnTagged","Aware","all","coha","elastic",210,1441,10,"100","PPMI","glmnet",0.304448034427871,0.529084388603194
"norm","python","UnTagged","Aware","all","coha","elastic",211,1551,10,"100","PPMI","glmnet",0.303693904157022,0.534462448646813
"plus","python","UnTagged","Aware","all","coha","elastic",210,1551,10,"100","PPMI","glmnet",0.313019065761906,0.55951868351106
"norm","python","UnTagged","Aware","all","coha","elastic",211,1661,10,"100","PPMI","glmnet",0.279575792422223,0.561362263904796
"plus","python","UnTagged","Aware","all","coha","elastic",210,1661,10,"100","PPMI","glmnet",0.323808707878014,0.575826491679367
"norm","python","UnTagged","Aware","all","coha","elastic",211,1771,10,"100","PPMI","glmnet",0.299501302382284,0.53045342936187
"plus","python","UnTagged","Aware","all","coha","elastic",210,1771,10,"100","PPMI","glmnet",0.287379525270566,0.527811935983194
"norm","python","UnTagged","Aware","all","coha","elastic",211,1881,10,"100","PPMI","glmnet",0.290994666031203,0.536840814799943
