"model","impute","tag","setting","dataset","corpus","ml_algo","n","seed","timespan","cutoff","ppmi","method","TrainRsquared","TrainSpearman"
"norm","python","UnTagged","Aware","reddy","coha","elastic",89,1441,10,"50","RAW","glmnet",0.531992993682841,0.673593073593074
"plus","python","UnTagged","Aware","reddy","coha","elastic",89,1441,10,"50","RAW","glmnet",0.497116961613838,0.684805194805195
"norm","python","UnTagged","Aware","reddy","coha","elastic",89,1551,10,"50","RAW","glmnet",0.4839474406969,0.65137881597873
"plus","python","UnTagged","Aware","reddy","coha","elastic",89,1551,10,"50","RAW","glmnet",0.519812686030776,0.649372817116588
"norm","python","UnTagged","Aware","reddy","coha","elastic",89,1661,10,"50","RAW","glmnet",0.506228701649086,0.704356448126577
"plus","python","UnTagged","Aware","reddy","coha","elastic",89,1661,10,"50","RAW","glmnet",0.515631622888894,0.697888276529954
"norm","python","UnTagged","Aware","reddy","coha","elastic",89,1771,10,"50","RAW","glmnet",0.57327049504766,0.678311688311688
"plus","python","UnTagged","Aware","reddy","coha","elastic",89,1771,10,"50","RAW","glmnet",0.475835969132173,0.675064935064935
"norm","python","UnTagged","Aware","reddy","coha","elastic",89,1881,10,"50","RAW","glmnet",0.516042889643244,0.653311688311688
"plus","python","UnTagged","Aware","reddy","coha","elastic",89,1881,10,"50","RAW","glmnet",0.489631599861761,0.662597402597403
"norm","python","UnTagged","Aware","reddy","coha","elastic",89,1991,10,"50","RAW","glmnet",0.518009449810416,0.669978354978355
"plus","python","UnTagged","Aware","reddy","coha","elastic",89,1991,10,"50","RAW","glmnet",0.481267469723206,0.668013653013653
"norm","python","UnTagged","Aware","all","coha","elastic",211,1001,10,"50","RAW","glmnet",0.329084888980667,0.52357865176463
"plus","python","UnTagged","Aware","all","coha","elastic",210,1001,10,"50","RAW","glmnet",0.297539613640149,0.544328343747034
"norm","python","UnTagged","Aware","all","coha","elastic",211,1111,10,"50","RAW","glmnet",0.299811382933996,0.523072665463565
"plus","python","UnTagged","Aware","all","coha","elastic",210,1111,10,"50","RAW","glmnet",0.308401563459938,0.532371187383646
"norm","python","UnTagged","Aware","all","coha","elastic",211,1221,10,"50","RAW","glmnet",0.319441101284639,0.538732755081746
"plus","python","UnTagged","Aware","all","coha","elastic",210,1221,10,"50","RAW","glmnet",0.301958688951094,0.509945470806445
"norm","python","UnTagged","Aware","all","coha","elastic",211,1331,10,"50","RAW","glmnet",0.287144655984907,0.536384551941618
"plus","python","UnTagged","Aware","all","coha","elastic",210,1331,10,"50","RAW","glmnet",0.309879864843707,0.53289117477705
"norm","python","UnTagged","Aware","all","coha","elastic",211,1441,10,"50","RAW","glmnet",0.33014069024322,0.569139588459341
"plus","python","UnTagged","Aware","all","coha","elastic",210,1441,10,"50","RAW","glmnet",0.311805649621218,0.548781297636671
"norm","python","UnTagged","Aware","all","coha","elastic",211,1551,10,"50","RAW","glmnet",0.316478962539911,0.529526986268552
"plus","python","UnTagged","Aware","all","coha","elastic",210,1551,10,"50","RAW","glmnet",0.307901072923586,0.549736254595221
"norm","python","UnTagged","Aware","all","coha","elastic",211,1661,10,"50","RAW","glmnet",0.295215125530339,0.560026194408154
"plus","python","UnTagged","Aware","all","coha","elastic",210,1661,10,"50","RAW","glmnet",0.335442118916445,0.575057221414286
"norm","python","UnTagged","Aware","all","coha","elastic",211,1771,10,"50","RAW","glmnet",0.297108643784542,0.559234969007055
"plus","python","UnTagged","Aware","all","coha","elastic",210,1771,10,"50","RAW","glmnet",0.302036312734818,0.53716743713722
"norm","python","UnTagged","Aware","all","coha","elastic",211,1881,10,"50","RAW","glmnet",0.304448652115438,0.514986005187616
"plus","python","UnTagged","Aware","all","coha","elastic",210,1881,10,"50","RAW","glmnet",0.298469674173058,0.523042625217984
"norm","python","UnTagged","Aware","all","coha","elastic",211,1991,10,"50","RAW","glmnet",0.324563234568514,0.551166980872231
"plus","python","UnTagged","Aware","all","coha","elastic",210,1991,10,"50","RAW","glmnet",0.29535574047289,0.491691370450283
"norm","python","UnTagged","Aware","reddy","coha","elastic",89,1001,10,"100","RAW","glmnet",0.52118099922952,0.7588433386795
"plus","python","UnTagged","Aware","reddy","coha","elastic",89,1001,10,"100","RAW","glmnet",0.537184673538266,0.7588433386795
"norm","python","UnTagged","Aware","reddy","coha","elastic",89,1111,10,"100","RAW","glmnet",0.486846974752421,0.62469696969697
"plus","python","UnTagged","Aware","reddy","coha","elastic",89,1111,10,"100","RAW","glmnet",0.479216241390067,0.597423421004666
"norm","python","UnTagged","Aware","reddy","coha","elastic",89,1221,10,"100","RAW","glmnet",0.568034261816981,0.699230549695023
"plus","python","UnTagged","Aware","reddy","coha","elastic",89,1221,10,"100","RAW","glmnet",0.495452673535473,0.699230549695023
"norm","python","UnTagged","Aware","reddy","coha","elastic",89,1331,10,"100","RAW","glmnet",0.501612174436205,0.645818686156997
"plus","python","UnTagged","Aware","reddy","coha","elastic",89,1331,10,"100","RAW","glmnet",0.480211010546552,0.624774318610695
"norm","python","UnTagged","Aware","reddy","coha","elastic",89,1441,10,"100","RAW","glmnet",0.485519648130899,0.660605429306791
"plus","python","UnTagged","Aware","reddy","coha","elastic",89,1441,10,"100","RAW","glmnet",0.51005064830155,0.660605429306791
"norm","python","UnTagged","Aware","reddy","coha","elastic",89,1551,10,"100","RAW","glmnet",0.520441501606936,0.651569039649498
"plus","python","UnTagged","Aware","reddy","coha","elastic",89,1551,10,"100","RAW","glmnet",0.521584087451868,0.645562662275715
"norm","python","UnTagged","Aware","reddy","coha","elastic",89,1661,10,"100","RAW","glmnet",0.503854613493832,0.695600691471086
"plus","python","UnTagged","Aware","reddy","coha","elastic",89,1661,10,"100","RAW","glmnet",0.509376728547156,0.671925260797847
"norm","python","UnTagged","Aware","reddy","coha","elastic",89,1771,10,"100","RAW","glmnet",0.560094188399006,0.663982683982684
"plus","python","UnTagged","Aware","reddy","coha","elastic",89,1771,10,"100","RAW","glmnet",0.460127910660732,0.646277056277056
"norm","python","UnTagged","Aware","reddy","coha","elastic",89,1881,10,"100","RAW","glmnet",0.514487286460158,0.696936159540642
"plus","python","UnTagged","Aware","reddy","coha","elastic",89,1881,10,"100","RAW","glmnet",0.515126635381388,0.696936159540642
"norm","python","UnTagged","Aware","reddy","coha","elastic",89,1991,10,"100","RAW","glmnet",0.516424019923548,0.692010706482543
"plus","python","UnTagged","Aware","reddy","coha","elastic",89,1991,10,"100","RAW","glmnet",0.475088008601801,0.692010706482543
"norm","python","UnTagged","Aware","all","coha","elastic",211,1001,10,"100","RAW","glmnet",0.305458608203427,0.502720390424217
"plus","python","UnTagged","Aware","all","coha","elastic",210,1001,10,"100","RAW","glmnet",0.290215464123038,0.516711826276881
"norm","python","UnTagged","Aware","all","coha","elastic",211,1111,10,"100","RAW","glmnet",0.30103952952708,0.540299515570149
"plus","python","UnTagged","Aware","all","coha","elastic",210,1111,10,"100","RAW","glmnet",0.302691813453288,0.522839674071418
"norm","python","UnTagged","Aware","all","coha","elastic",211,1221,10,"100","RAW","glmnet",0.303894819696153,0.541103436590554
"plus","python","UnTagged","Aware","all","coha","elastic",210,1221,10,"100","RAW","glmnet",0.29129424010438,0.522480593908951
"norm","python","UnTagged","Aware","all","coha","elastic",211,1331,10,"100","RAW","glmnet",0.299202521806848,0.534125640832375
"plus","python","UnTagged","Aware","all","coha","elastic",210,1331,10,"100","RAW","glmnet",0.307803966336608,0.523260185803453
"norm","python","UnTagged","Aware","all","coha","elastic",211,1441,10,"100","RAW","glmnet",0.316569367491629,0.539974317616903
"plus","python","UnTagged","Aware","all","coha","elastic",210,1441,10,"100","RAW","glmnet",0.305267105703521,0.527832177571577
"norm","python","UnTagged","Aware","all","coha","elastic",211,1551,10,"100","RAW","glmnet",0.315235872548691,0.534649752014271
"plus","python","UnTagged","Aware","all","coha","elastic",210,1551,10,"100","RAW","glmnet",0.311002516748987,0.556500814861508
"norm","python","UnTagged","Aware","all","coha","elastic",211,1661,10,"100","RAW","glmnet",0.289200510403908,0.561671144332693
"plus","python","UnTagged","Aware","all","coha","elastic",210,1661,10,"100","RAW","glmnet",0.322542846458811,0.575826491679367
"norm","python","UnTagged","Aware","all","coha","elastic",211,1771,10,"100","RAW","glmnet",0.298597955322482,0.532852652911593
"plus","python","UnTagged","Aware","all","coha","elastic",210,1771,10,"100","RAW","glmnet",0.286294915851503,0.527561578044703
"norm","python","UnTagged","Aware","all","coha","elastic",211,1881,10,"100","RAW","glmnet",0.300676496694848,0.53955386162782
"plus","python","UnTagged","Aware","all","coha","elastic",210,1881,10,"100","RAW","glmnet",0.322314960763187,0.548659106562214
"norm","python","UnTagged","Aware","all","coha","elastic",211,1991,10,"100","RAW","glmnet",0.295385622806461,0.532520484558628
"plus","python","UnTagged","Aware","all","coha","elastic",210,1991,10,"100","RAW","glmnet",0.297185037256968,0.513933097239722
"norm","python","UnTagged","Aware","reddy","coha","elastic",89,1001,10,"500","RAW","glmnet",0.302889992186966,0.477253478187476
"plus","python","UnTagged","Aware","reddy","coha","elastic",89,1001,10,"500","RAW","glmnet",0.527950388867615,0.476190476190476
"norm","python","UnTagged","Aware","reddy","coha","elastic",89,1111,10,"500","RAW","glmnet",0.312309280392213,0.405097726953785
"plus","python","UnTagged","Aware","reddy","coha","elastic",89,1111,10,"500","RAW","glmnet",0.379997987346277,0.398419913419913
"norm","python","UnTagged","Aware","reddy","coha","elastic",89,1221,10,"500","RAW","glmnet",0.36500386870038,0.374237382786098
"plus","python","UnTagged","Aware","reddy","coha","elastic",89,1221,10,"500","RAW","glmnet",0.27762279597216,0.358172000978747
"norm","python","UnTagged","Aware","reddy","coha","elastic",89,1331,10,"500","RAW","glmnet",0.374789092307247,0.399770837584039
"plus","python","UnTagged","Aware","reddy","coha","elastic",89,1331,10,"500","RAW","glmnet",0.328089053964792,0.411949888476542
"norm","python","UnTagged","Aware","reddy","coha","elastic",89,1441,10,"500","RAW","glmnet",0.313974445931328,0.363998406347379
"plus","python","UnTagged","Aware","reddy","coha","elastic",89,1441,10,"500","RAW","glmnet",0.309066681247914,0.349935064935065
"norm","python","UnTagged","Aware","reddy","coha","elastic",89,1551,10,"500","RAW","glmnet",0.47111120973673,0.448470305907155
"plus","python","UnTagged","Aware","reddy","coha","elastic",89,1551,10,"500","RAW","glmnet",0.298913981112172,0.448470305907155
"norm","python","UnTagged","Aware","reddy","coha","elastic",89,1661,10,"500","RAW","glmnet",0.363766972451045,0.443699571429501
"plus","python","UnTagged","Aware","reddy","coha","elastic",89,1661,10,"500","RAW","glmnet",0.385785524729037,0.551515151515151
"norm","python","UnTagged","Aware","reddy","coha","elastic",89,1771,10,"500","RAW","glmnet",0.343082068729916,0.691763756703702
"plus","python","UnTagged","Aware","reddy","coha","elastic",89,1771,10,"500","RAW","glmnet",0.289398975779123,0.781818181818182
"norm","python","UnTagged","Aware","reddy","coha","elastic",89,1881,10,"500","RAW","glmnet",0.322232694211051,0.652791209833867
"plus","python","UnTagged","Aware","reddy","coha","elastic",89,1881,10,"500","RAW","glmnet",0.307673525506915,0.524199609083688
"norm","python","UnTagged","Aware","reddy","coha","elastic",89,1991,10,"500","RAW","glmnet",0.308106642051901,0.41417533715067
"plus","python","UnTagged","Aware","reddy","coha","elastic",89,1991,10,"500","RAW","glmnet",0.363330101996077,0.41417533715067
"norm","python","UnTagged","Aware","all","coha","elastic",211,1001,10,"500","RAW","glmnet",0.130262040276852,0.302242384106873
"plus","python","UnTagged","Aware","all","coha","elastic",210,1001,10,"500","RAW","glmnet",0.136616816354267,0.355987669713903
"norm","python","UnTagged","Aware","all","coha","elastic",211,1111,10,"500","RAW","glmnet",0.125154291655865,0.298852057244205
"plus","python","UnTagged","Aware","all","coha","elastic",210,1111,10,"500","RAW","glmnet",0.176865263704799,0.346025738161832
"norm","python","UnTagged","Aware","all","coha","elastic",211,1221,10,"500","RAW","glmnet",0.14027081976359,0.300085114270657
"plus","python","UnTagged","Aware","all","coha","elastic",210,1221,10,"500","RAW","glmnet",0.164023719364486,0.349825363204004
"norm","python","UnTagged","Aware","all","coha","elastic",211,1331,10,"500","RAW","glmnet",0.165932250462864,0.291085798356042
"plus","python","UnTagged","Aware","all","coha","elastic",210,1331,10,"500","RAW","glmnet",0.435842702075271,0.315601417936322
"norm","python","UnTagged","Aware","all","coha","elastic",211,1441,10,"500","RAW","glmnet",0.127313613605486,0.305943497592584
"plus","python","UnTagged","Aware","all","coha","elastic",210,1441,10,"500","RAW","glmnet",0.147987628656874,0.359165591420242
"norm","python","UnTagged","Aware","all","coha","elastic",211,1551,10,"500","RAW","glmnet",0.128460243739954,0.28793893343588
"plus","python","UnTagged","Aware","all","coha","elastic",210,1551,10,"500","RAW","glmnet",0.149786976157737,0.350949995404262
"norm","python","UnTagged","Aware","all","coha","elastic",211,1661,10,"500","RAW","glmnet",0.15010938054591,0.303475057617215
"plus","python","UnTagged","Aware","all","coha","elastic",210,1661,10,"500","RAW","glmnet",0.171652586937374,0.381574990865076
"norm","python","UnTagged","Aware","all","coha","elastic",211,1771,10,"500","RAW","glmnet",0.145638317561494,0.298614208240119
"plus","python","UnTagged","Aware","all","coha","elastic",210,1771,10,"500","RAW","glmnet",0.181712198652353,0.313456003003421
"norm","python","UnTagged","Aware","all","coha","elastic",211,1881,10,"500","RAW","glmnet",0.153107254737969,0.298632400522096
"plus","python","UnTagged","Aware","all","coha","elastic",210,1881,10,"500","RAW","glmnet",0.202542474539176,0.554979013730348
"norm","python","UnTagged","Aware","all","coha","elastic",211,1991,10,"500","RAW","glmnet",0.169725449152081,0.300781082024581
"plus","python","UnTagged","Aware","all","coha","elastic",210,1991,10,"500","RAW","glmnet",0.138342730663953,0.319231181350602
"norm","python","UnTagged","Aware","reddy","coha","elastic",89,1001,20,"0","RAW","glmnet",0.566722566485828,0.672947366483151
"plus","python","UnTagged","Aware","reddy","coha","elastic",89,1001,20,"0","RAW","glmnet",0.522763204259719,0.672947366483151
"norm","python","UnTagged","Aware","reddy","coha","elastic",89,1111,20,"0","RAW","glmnet",0.514558049111197,0.587922077922078
"plus","python","UnTagged","Aware","reddy","coha","elastic",89,1111,20,"0","RAW","glmnet",0.490875975854882,0.589350649350649
"norm","python","UnTagged","Aware","reddy","coha","elastic",89,1221,20,"0","RAW","glmnet",0.529171720814223,0.664369362689913
"plus","python","UnTagged","Aware","reddy","coha","elastic",89,1221,20,"0","RAW","glmnet",0.519401237335761,0.660856477892519
"norm","python","UnTagged","Aware","reddy","coha","elastic",89,1331,20,"0","RAW","glmnet",0.536643936206094,0.66651541547822
"plus","python","UnTagged","Aware","reddy","coha","elastic",89,1331,20,"0","RAW","glmnet",0.507597408602931,0.713019497367655
"norm","python","UnTagged","Aware","reddy","coha","elastic",89,1441,20,"0","RAW","glmnet",0.517543714192743,0.695411255411255
"plus","python","UnTagged","Aware","reddy","coha","elastic",89,1441,20,"0","RAW","glmnet",0.507876898121857,0.699242424242424
"norm","python","UnTagged","Aware","reddy","coha","elastic",89,1551,20,"0","RAW","glmnet",0.507623417634999,0.653961221420777
"plus","python","UnTagged","Aware","reddy","coha","elastic",89,1551,20,"0","RAW","glmnet",0.5020326913608,0.675412799009215
"norm","python","UnTagged","Aware","reddy","coha","elastic",89,1661,20,"0","RAW","glmnet",0.477199920153828,0.689366529292716
"plus","python","UnTagged","Aware","reddy","coha","elastic",89,1661,20,"0","RAW","glmnet",0.506895382918095,0.689366529292716
"norm","python","UnTagged","Aware","reddy","coha","elastic",89,1771,20,"0","RAW","glmnet",0.565769008435425,0.668225108225108
