"model","impute","tag","setting","dataset","corpus","ml_algo","n","seed","timespan","cutoff","ppmi","method","TrainRsquared","TrainSpearman"
"plus","python","Tagged","Agnostic","reddy","coha","elastic",89,1661,10,"50","PPMI","glmnet",0.490141632154642,0.67776020827848
"norm","python","Tagged","Agnostic","reddy","coha","elastic",89,1771,10,"50","PPMI","glmnet",0.52095341380746,0.661168831168831
"plus","python","Tagged","Agnostic","reddy","coha","elastic",89,1771,10,"50","PPMI","glmnet",0.480435103981754,0.675909090909091
"norm","python","Tagged","Agnostic","reddy","coha","elastic",89,1881,10,"50","PPMI","glmnet",0.497564227610228,0.665151515151515
"plus","python","Tagged","Agnostic","reddy","coha","elastic",89,1881,10,"50","PPMI","glmnet",0.480655703830104,0.658419913419913
"norm","python","Tagged","Agnostic","reddy","coha","elastic",89,1991,10,"50","PPMI","glmnet",0.474665715655113,0.65518648018648
"plus","python","Tagged","Agnostic","reddy","coha","elastic",89,1991,10,"50","PPMI","glmnet",0.452639243118847,0.651095571095571
"norm","python","Tagged","Agnostic","all","coha","elastic",211,1001,10,"50","PPMI","glmnet",0.309497481804671,0.514906192040106
"plus","python","Tagged","Agnostic","all","coha","elastic",210,1001,10,"50","PPMI","glmnet",0.28698841032428,0.514801608431458
"norm","python","Tagged","Agnostic","all","coha","elastic",211,1111,10,"50","PPMI","glmnet",0.27239468033702,0.504933203133707
"plus","python","Tagged","Agnostic","all","coha","elastic",210,1111,10,"50","PPMI","glmnet",0.295146585460616,0.494203201950821
"norm","python","Tagged","Agnostic","all","coha","elastic",211,1221,10,"50","PPMI","glmnet",0.283955548703671,0.524560407112382
"plus","python","Tagged","Agnostic","all","coha","elastic",210,1221,10,"50","PPMI","glmnet",0.28579285648208,0.509061809787959
"norm","python","Tagged","Agnostic","all","coha","elastic",211,1331,10,"50","PPMI","glmnet",0.272399484505195,0.489433127268125
"plus","python","Tagged","Agnostic","all","coha","elastic",210,1331,10,"50","PPMI","glmnet",0.269321395632641,0.482727314182836
"norm","python","Tagged","Agnostic","all","coha","elastic",211,1441,10,"50","PPMI","glmnet",0.310220455638281,0.542095447053849
"plus","python","Tagged","Agnostic","all","coha","elastic",210,1441,10,"50","PPMI","glmnet",0.289955494449619,0.528892385236428
"norm","python","Tagged","Agnostic","all","coha","elastic",211,1551,10,"50","PPMI","glmnet",0.286477235140619,0.505277345598382
"plus","python","Tagged","Agnostic","all","coha","elastic",210,1551,10,"50","PPMI","glmnet",0.295172299111358,0.522109774823166
"norm","python","Tagged","Agnostic","all","coha","elastic",211,1661,10,"50","PPMI","glmnet",0.283090190144592,0.536297497102933
"plus","python","Tagged","Agnostic","all","coha","elastic",210,1661,10,"50","PPMI","glmnet",0.310133947753341,0.556627718603939
"norm","python","Tagged","Agnostic","all","coha","elastic",211,1771,10,"50","PPMI","glmnet",0.294411410915031,0.544503086318498
"plus","python","Tagged","Agnostic","all","coha","elastic",210,1771,10,"50","PPMI","glmnet",0.26687404867456,0.529678076424411
"norm","python","Tagged","Agnostic","all","coha","elastic",211,1881,10,"50","PPMI","glmnet",0.279849977285977,0.519120962101059
"plus","python","Tagged","Agnostic","all","coha","elastic",210,1881,10,"50","PPMI","glmnet",0.277290401167695,0.499112000307457
"norm","python","Tagged","Agnostic","all","coha","elastic",211,1991,10,"50","PPMI","glmnet",0.315911124532392,0.529601577128055
"plus","python","Tagged","Agnostic","all","coha","elastic",210,1991,10,"50","PPMI","glmnet",0.284094690824663,0.482636875821031
"norm","python","Tagged","Agnostic","reddy","coha","elastic",89,1001,10,"100","PPMI","glmnet",0.567967751013822,0.730308737263359
"plus","python","Tagged","Agnostic","reddy","coha","elastic",89,1001,10,"100","PPMI","glmnet",0.522912309015882,0.730308737263359
"norm","python","Tagged","Agnostic","reddy","coha","elastic",89,1111,10,"100","PPMI","glmnet",0.53267276127328,0.683484985492268
"plus","python","Tagged","Agnostic","reddy","coha","elastic",89,1111,10,"100","PPMI","glmnet",0.494210039031288,0.630053119609698
"norm","python","Tagged","Agnostic","reddy","coha","elastic",89,1221,10,"100","PPMI","glmnet",0.588936765460377,0.735565707852878
"plus","python","Tagged","Agnostic","reddy","coha","elastic",89,1221,10,"100","PPMI","glmnet",0.512395008995266,0.735565707852878
"norm","python","Tagged","Agnostic","reddy","coha","elastic",89,1331,10,"100","PPMI","glmnet",0.571660332144528,0.660641309163356
"plus","python","Tagged","Agnostic","reddy","coha","elastic",89,1331,10,"100","PPMI","glmnet",0.481461659695488,0.643509822553749
"norm","python","Tagged","Agnostic","reddy","coha","elastic",89,1441,10,"100","PPMI","glmnet",0.519362452365943,0.703191577878947
"plus","python","Tagged","Agnostic","reddy","coha","elastic",89,1441,10,"100","PPMI","glmnet",0.506730258120953,0.674762211444009
"norm","python","Tagged","Agnostic","reddy","coha","elastic",89,1551,10,"100","PPMI","glmnet",0.532288882316125,0.688936198188499
"plus","python","Tagged","Agnostic","reddy","coha","elastic",89,1551,10,"100","PPMI","glmnet",0.523162989274591,0.664670767786208
"norm","python","Tagged","Agnostic","reddy","coha","elastic",89,1661,10,"100","PPMI","glmnet",0.542412321077542,0.655043913446482
"plus","python","Tagged","Agnostic","reddy","coha","elastic",89,1661,10,"100","PPMI","glmnet",0.49027957468021,0.655093729570338
"norm","python","Tagged","Agnostic","reddy","coha","elastic",89,1771,10,"100","PPMI","glmnet",0.59500242480127,0.679705107640305
"plus","python","Tagged","Agnostic","reddy","coha","elastic",89,1771,10,"100","PPMI","glmnet",0.480592035630186,0.680432900432901
"norm","python","Tagged","Agnostic","reddy","coha","elastic",89,1881,10,"100","PPMI","glmnet",0.530836935157238,0.72909067882419
"plus","python","Tagged","Agnostic","reddy","coha","elastic",89,1881,10,"100","PPMI","glmnet",0.53374913179837,0.719307359307359
"norm","python","Tagged","Agnostic","reddy","coha","elastic",89,1991,10,"100","PPMI","glmnet",0.55755067418126,0.676827293439585
"plus","python","Tagged","Agnostic","reddy","coha","elastic",89,1991,10,"100","PPMI","glmnet",0.512501539975152,0.676827293439585
"norm","python","Tagged","Agnostic","all","coha","elastic",211,1001,10,"100","PPMI","glmnet",0.292849358318027,0.519862799111416
"plus","python","Tagged","Agnostic","all","coha","elastic",210,1001,10,"100","PPMI","glmnet",0.282055917520899,0.489146554807439
"norm","python","Tagged","Agnostic","all","coha","elastic",211,1111,10,"100","PPMI","glmnet",0.300095281328859,0.508283726584599
"plus","python","Tagged","Agnostic","all","coha","elastic",210,1111,10,"100","PPMI","glmnet",0.288552654084013,0.497907656456872
"norm","python","Tagged","Agnostic","all","coha","elastic",211,1221,10,"100","PPMI","glmnet",0.288540299703306,0.534027981324184
"plus","python","Tagged","Agnostic","all","coha","elastic",210,1221,10,"100","PPMI","glmnet",0.279102372818909,0.491136521275024
"norm","python","Tagged","Agnostic","all","coha","elastic",211,1331,10,"100","PPMI","glmnet",0.288716758847694,0.511334122588258
"plus","python","Tagged","Agnostic","all","coha","elastic",210,1331,10,"100","PPMI","glmnet",0.287147514039951,0.506819734987706
"norm","python","Tagged","Agnostic","all","coha","elastic",211,1441,10,"100","PPMI","glmnet",0.317247323075958,0.531959103359004
"plus","python","Tagged","Agnostic","all","coha","elastic",210,1441,10,"100","PPMI","glmnet",0.29602755767109,0.510714908642729
"norm","python","Tagged","Agnostic","all","coha","elastic",211,1551,10,"100","PPMI","glmnet",0.294461852570569,0.518367728536532
"plus","python","Tagged","Agnostic","all","coha","elastic",210,1551,10,"100","PPMI","glmnet",0.311599134422921,0.541981388195091
"norm","python","Tagged","Agnostic","all","coha","elastic",211,1661,10,"100","PPMI","glmnet",0.29683010957631,0.539573807370612
"plus","python","Tagged","Agnostic","all","coha","elastic",210,1661,10,"100","PPMI","glmnet",0.286308649959717,0.526823647974703
"norm","python","Tagged","Agnostic","all","coha","elastic",211,1771,10,"100","PPMI","glmnet",0.287069571348428,0.538879782892312
"plus","python","Tagged","Agnostic","all","coha","elastic",210,1771,10,"100","PPMI","glmnet",0.288190567082261,0.522899626345922
"norm","python","Tagged","Agnostic","all","coha","elastic",211,1881,10,"100","PPMI","glmnet",0.290293777779183,0.521374616416667
"plus","python","Tagged","Agnostic","all","coha","elastic",210,1881,10,"100","PPMI","glmnet",0.301101507863226,0.499767889467872
"norm","python","Tagged","Agnostic","all","coha","elastic",211,1991,10,"100","PPMI","glmnet",0.317981086772692,0.546860539405709
"plus","python","Tagged","Agnostic","all","coha","elastic",210,1991,10,"100","PPMI","glmnet",0.297952604720271,0.50901035694112
"norm","python","Tagged","Agnostic","reddy","coha","elastic",89,1001,10,"500","PPMI","glmnet",0.345262392453191,0.541119877931665
"plus","python","Tagged","Agnostic","reddy","coha","elastic",89,1001,10,"500","PPMI","glmnet",0.343293599224337,0.53474913451666
"norm","python","Tagged","Agnostic","reddy","coha","elastic",89,1111,10,"500","PPMI","glmnet",0.306067031855702,0.483861409772234
"plus","python","Tagged","Agnostic","reddy","coha","elastic",89,1111,10,"500","PPMI","glmnet",0.380543029143549,0.503376623376623
"norm","python","Tagged","Agnostic","reddy","coha","elastic",89,1221,10,"500","PPMI","glmnet",0.33821430543597,0.472827127008284
"plus","python","Tagged","Agnostic","reddy","coha","elastic",89,1221,10,"500","PPMI","glmnet",0.300835718320901,0.440205150324014
"norm","python","Tagged","Agnostic","reddy","coha","elastic",89,1331,10,"500","PPMI","glmnet",0.362403703765836,0.478581350723074
